time,temperature_2m,relative_humidity_2m,wind_speed_10m,apparent_temperature
2023-12-18 20:00:00,11.9,88,22.8,8.6
2023-12-18 21:00:00,12.0,87,22.6,8.7
2023-12-18 22:00:00,11.9,89,22.1,8.7
2023-12-18 23:00:00,11.9,89,21.8,8.8
2023-12-19 00:00:00,12.0,90,21.5,9.0
2023-12-19 01:00:00,12.1,89,24.1,8.7
2023-12-19 02:00:00,12.2,89,24.2,8.9
2023-12-19 03:00:00,12.4,88,25.1,8.9
2023-12-19 04:00:00,12.4,89,25.1,8.9
2023-12-19 05:00:00,12.3,90,23.7,9.0
2023-12-19 06:00:00,12.1,92,21.4,9.2
2023-12-19 07:00:00,12.0,93,18.9,9.6
2023-12-19 08:00:00,12.0,94,17.1,9.9
2023-12-19 09:00:00,12.2,94,17.4,10.1
2023-12-19 10:00:00,12.4,93,16.3,10.4
2023-12-19 11:00:00,12.2,95,14.2,10.5
2023-12-19 12:00:00,11.3,95,12.8,9.5
2023-12-19 13:00:00,10.0,92,13.7,7.6
2023-12-19 14:00:00,9.7,92,12.0,7.6
2023-12-19 15:00:00,9.5,92,12.4,7.2
2023-12-19 16:00:00,9.0,91,15.3,6.2
2023-12-19 17:00:00,8.4,87,16.6,5.0
2023-12-19 18:00:00,7.2,88,13.4,4.1
2023-12-19 19:00:00,6.2,90,13.8,2.9
2023-12-19 20:00:00,6.0,91,16.7,2.3
2023-12-19 21:00:00,5.8,90,18.9,1.7
2023-12-19 22:00:00,5.5,89,19.6,1.2
2023-12-19 23:00:00,5.4,89,19.4,1.1
2023-12-20 00:00:00,5.2,90,19.5,0.9
2023-12-20 01:00:00,5.2,90,20.6,0.7
2023-12-20 02:00:00,5.1,90,20.0,0.7
2023-12-20 03:00:00,5.0,90,19.5,0.7
2023-12-20 04:00:00,5.1,89,20.9,0.5
2023-12-20 05:00:00,5.2,88,21.3,0.6
2023-12-20 06:00:00,5.3,88,20.7,0.7
2023-12-20 07:00:00,5.4,89,19.6,1.1
2023-12-20 08:00:00,5.8,88,20.6,1.3
2023-12-20 09:00:00,6.3,87,21.1,1.9
2023-12-20 10:00:00,7.6,83,22.2,3.1
2023-12-20 11:00:00,9.0,79,24.9,4.3
2023-12-20 12:00:00,9.4,79,22.2,5.2
2023-12-20 13:00:00,9.6,79,22.0,5.4
2023-12-20 14:00:00,9.6,80,25.5,4.9
2023-12-20 15:00:00,9.7,80,26.5,5.0
2023-12-20 16:00:00,10.0,80,24.4,5.6
2023-12-20 17:00:00,10.1,81,24.3,5.8
2023-12-20 18:00:00,10.0,81,24.6,5.6
2023-12-20 19:00:00,10.0,79,25.7,5.4
2023-12-20 20:00:00,10.1,78,25.7,5.5
2023-12-20 21:00:00,10.0,80,24.6,5.6
2023-12-20 22:00:00,10.3,80,24.5,6.0
2023-12-20 23:00:00,10.9,79,26.0,6.4
2023-12-21 00:00:00,11.1,80,24.9,6.9
2023-12-21 01:00:00,10.3,83,23.0,6.3
2023-12-21 02:00:00,10.2,84,24.7,6.0
2023-12-21 03:00:00,10.9,80,27.2,6.4
2023-12-21 04:00:00,11.1,79,28.8,6.2
2023-12-21 05:00:00,11.3,78,32.8,5.9
2023-12-21 06:00:00,11.6,77,34.9,6.0
2023-12-21 07:00:00,11.8,79,33.6,6.5
2023-12-21 08:00:00,12.0,80,32.2,7.0
2023-12-21 09:00:00,12.6,76,31.8,7.5
